turn,object_id,object_type,state,downtime_reason,shortage_flag,missing_inputs,maintenance_event,maintenance_duration,queue_duration,cost,vibration_level,output_qualities,output_count,cycle_time,total_stock,stock_by_type,mat_id_in,mat_type_in,source_in,mat_id_out,mat_type_out,dest_out,blocked_downstream_id
1,INV_COAL,INV,,,,,,,,,,,,,,,,,,COAL108,RAW_COAL,WS2,
1,INV_COPPER,INV,,,,,,,,,,,,,,,,,,COPPER112,RAW_COPPER,WS17,
1,INV_GLASS,INV,,,,,,,,,,,,,,,,,,GLASS115,RAW_GLASS,WS9,
1,INV_RUBBER,INV,,,,,,,,,,,,,,,,,,RUBBER124,RAW_RUBBER,WS15,
1,INV_STEEL,INV,,,,,,,,,,,,,,,,,,STEEL103,COMP_STEEL,WS2,
12,WS6,WS,2,,,,,,,6,0.03472622198568526,,,,,,,,,,,,
12,WS7,WS,2,,,,,,,8,0.03123267338087647,,,,,,,,,,,,
12,WS9,WS,2,,,,,,,5,0.03863745042490198,,,,,,,,,,,,
13,WS1,WS,3,,,,,,,8,0.03908614176027948,[1.0],1,5,,,,,,,,,
13,WS10,WS,2,,,,,,,6,0.021669993374676583,,,,,,,,,,,,
13,WS11,WS,2,,,,,,,6,0.020859180458128474,,,,,,,,,,,,
13,WS12,WS,2,,,,,,,7,0.036301170640699015,,,,,,,,,,,,
13,WS13,WS,4,maintenance,,,,,,0,0.02230217535158277,,,,,,,,,,,,
13,WS14,WS,2,,,,,,,12,0.022454298656732156,,,,,,,,,,,,
13,WS15,WS,2,,,,,,,6,0.02544738051243515,,,,,,,,,,,,
13,WS16,WS,1,,True,"[""COMP_ENGINE""]",,,,2,0.027439162940159273,,,,,,,,,,,,
13,WS17,WS,4,maintenance,,,,,,0,0.0281240162477744,,,,,,,,,,,,
13,WS18,WS,1,,True,"[""COMP_WHEELS""]",,,,2,0.035678231857321,,,,,,,,,,,,
13,WS19,WS,2,,,,,,,7,0.03368149468126936,,,,,,,,,,,,
13,WS2,WS,4,maintenance,,,,,,0,0.024614293705884305,,,,,,,,,,,,
13,WS3,WS,2,,,,,,,8,0.034248570019995754,,,,,,,,,,,,
13,WS4,WS,2,,,,,,,7,0.02670314530611502,,,,,,,,,,,,
